Bacteria,Antibiotic,Result,ResultCode,BacteriaEncoded,AntibioticEncoded
IFE-T,IMIPENEM,Intermediate,2,5,4
IFE-T,IMIPENEM,Susceptible,0,5,4
IFE-T,IMIPENEM,Resistant,1,5,4
IFE-C,IMIPENEM,Intermediate,2,3,4
IFE-C,IMIPENEM,Susceptible,0,3,4
IFE-S,IMIPENEM,Intermediate,2,4,4
IFE-S,IMIPENEM,Susceptible,0,4,4
IFE-S,IMIPENEM,Resistant,1,4,4
OSU-T,IMIPENEM,Intermediate,2,11,4
OSU-T,IMIPENEM,Susceptible,0,11,4
OSU-C,IMIPENEM,Intermediate,2,9,4
OSU-C,IMIPENEM,Susceptible,0,9,4
OSU-S,IMIPENEM,Intermediate,2,10,4
OSU-S,IMIPENEM,Susceptible,0,10,4
OSU-S,IMIPENEM,Resistant,1,10,4
IWO-T,IMIPENEM,Susceptible,0,8,4
IWO-T,IMIPENEM,Intermediate,2,8,4
IWO-C,IMIPENEM,Susceptible,0,6,4
IWO-C,IMIPENEM,Intermediate,2,6,4
IWO-C,IMIPENEM,Resistant,1,6,4
IWO-S,IMIPENEM,Susceptible,0,7,4
IWO-S,IMIPENEM,Intermediate,2,7,4
IWO-S,IMIPENEM,Resistant,1,7,4
EDE-T,IMIPENEM,Susceptible,0,2,4
EDE-T,IMIPENEM,Resistant,1,2,4
EDE-T,IMIPENEM,Intermediate,2,2,4
EDE-C,IMIPENEM,Intermediate,2,0,4
EDE-C,IMIPENEM,Resistant,1,0,4
EDE-C,IMIPENEM,Susceptible,0,0,4
EDE-S,IMIPENEM,Susceptible,0,1,4
EDE-S,IMIPENEM,Intermediate,2,1,4
EDE-S,IMIPENEM,Resistant,1,1,4
IFE-T,CEFTAZIDIME,Susceptible,0,5,1
IFE-T,CEFTAZIDIME,Intermediate,2,5,1
IFE-C,CEFTAZIDIME,Susceptible,0,3,1
IFE-C,CEFTAZIDIME,Intermediate,2,3,1
IFE-S,CEFTAZIDIME,Susceptible,0,4,1
IFE-S,CEFTAZIDIME,Intermediate,2,4,1
OSU-T,CEFTAZIDIME,Susceptible,0,11,1
OSU-T,CEFTAZIDIME,Intermediate,2,11,1
OSU-T,CEFTAZIDIME,Resistant,1,11,1
OSU-C,CEFTAZIDIME,Susceptible,0,9,1
OSU-S,CEFTAZIDIME,Intermediate,2,10,1
OSU-S,CEFTAZIDIME,Susceptible,0,10,1
IWO-T,CEFTAZIDIME,Intermediate,2,8,1
IWO-T,CEFTAZIDIME,Susceptible,0,8,1
IWO-C,CEFTAZIDIME,Susceptible,0,6,1
IWO-C,CEFTAZIDIME,Intermediate,2,6,1
IWO-S,CEFTAZIDIME,Susceptible,0,7,1
EDE-T,CEFTAZIDIME,Intermediate,2,2,1
EDE-T,CEFTAZIDIME,Susceptible,0,2,1
EDE-C,CEFTAZIDIME,Susceptible,0,0,1
EDE-C,CEFTAZIDIME,Intermediate,2,0,1
EDE-S,CEFTAZIDIME,Susceptible,0,1,1
EDE-S,CEFTAZIDIME,Intermediate,2,1,1
IFE-T,GENTAMICIN,Susceptible,0,5,3
IFE-T,GENTAMICIN,Intermediate,2,5,3
IFE-C,GENTAMICIN,Susceptible,0,3,3
IFE-C,GENTAMICIN,Intermediate,2,3,3
IFE-S,GENTAMICIN,Susceptible,0,4,3
IFE-S,GENTAMICIN,Intermediate,2,4,3
OSU-T,GENTAMICIN,Susceptible,0,11,3
OSU-T,GENTAMICIN,Intermediate,2,11,3
OSU-C,GENTAMICIN,Susceptible,0,9,3
OSU-C,GENTAMICIN,Intermediate,2,9,3
OSU-S,GENTAMICIN,Susceptible,0,10,3
OSU-S,GENTAMICIN,Intermediate,2,10,3
IWO-T,GENTAMICIN,Susceptible,0,8,3
IWO-T,GENTAMICIN,Intermediate,2,8,3
IWO-C,GENTAMICIN,Susceptible,0,6,3
IWO-C,GENTAMICIN,Intermediate,2,6,3
IWO-S,GENTAMICIN,Susceptible,0,7,3
IWO-S,GENTAMICIN,Intermediate,2,7,3
EDE-T,GENTAMICIN,Susceptible,0,2,3
EDE-T,GENTAMICIN,Intermediate,2,2,3
EDE-C,GENTAMICIN,Susceptible,0,0,3
EDE-C,GENTAMICIN,Intermediate,2,0,3
EDE-S,GENTAMICIN,Susceptible,0,1,3
EDE-S,GENTAMICIN,Intermediate,2,1,3
